latitude,longitude,elevation_m,slope_deg,avg_rainfall_mm,rainy_days,distance_to_river_km,depth_to_bedrock_m,ndvi_mean,ndvi_dry,ndvi_wet,soil_type,landcover,drilling_method,well_depth_m,screen_length_m,diameter_in,success,yield_lpm
18.11258320887879,75.58946482834128,618,2.7428564139193616,1232.160207062058,57,6.987687649639758,40.56833641473446,0.1576470932357307,0.10676961772953891,0.29794839715253996,sandy,urban,manual,91.99179255442766,10.254565265342666,8,0,0.0
33.66928627306774,75.162385173088,1704,3.0289298243629834,978.296118466245,49,5.423915372314432,13.718251986116478,0.48520686622819076,0.4350343840172067,0.5435650884282264,sandy,cropland,down_the_hole,94.0280438873699,9.357486037424755,8,1,102.27951988244122
27.763836428907936,94.28138283511007,1238,3.7474652822636667,748.3741529460651,131,2.496713799447057,16.778879106666064,0.2898880105382238,0.23012137872561148,0.4221505033060798,black,cropland,rotary,168.32614307192372,13.135590530475412,6,0,0.0
24.163779073319986,75.23683979563567,1038,4.409540767256477,1013.9760487926757,50,10.210828829057908,28.066591637028335,0.5304539245420032,0.4702982641990854,0.5956501771298247,sandy,forest,manual,126.3279888926138,9.531631556659113,12,1,62.250998810512534
12.212503291945787,75.8865420577303,1649,3.023993560656351,785.227422445252,136,1.7838258144708807,19.87703644865008,0.7840314173926929,0.6635417264972133,0.8378445788018402,sandy,cropland,rotary,153.78329328125838,7.653875303720769,8,1,163.479164747793
12.211852049077471,90.02254961012095,1121,0.81225599954391,726.3499077092139,104,8.907022234561284,43.72301689643503,0.1779200250342851,0.10742842178268514,0.29986897006022595,red,grassland,manual,157.70764125428644,13.97827006429701,10,0,0.0
9.568257528541386,81.04245543106566,1735,6.215513513920055,611.409332941754,116,7.216469850351096,26.31920691824241,0.24848777910535796,0.10901636862979669,0.32651430912280077,alluvium,grassland,manual,102.17075960346503,9.885106810066597,12,0,0.0
31.38675593592325,90.52460615170025,533,3.9516462446114913,462.0427983120702,140,8.840996911615186,40.981038984590135,0.43116617666956236,0.2883055437118604,0.5526157919479973,laterite,grassland,manual,79.9355390425921,15.373270486344525,6,0,0.0
24.230105317066638,69.89561856936717,1231,4.062881472810002,802.5190733601387,123,3.666700121231249,31.127889221705917,0.7780296707421507,0.6304403369525609,0.8835381957894326,black,grassland,manual,145.84311905246713,8.93532679037304,10,1,111.61067605168718
27.11795960049323,82.13956461652815,717,17.014009079076423,939.513372480033,104,4.572037405732387,39.78905637277004,0.640266843388997,0.496358712900295,0.7011475824120035,alluvium,urban,down_the_hole,85.71140588746042,6.005751205228238,12,0,0.0
8.555781345986667,68.9747944053152,200,4.866453172216623,875.8440824962776,91,5.1651276718431305,19.970284393864574,0.7287604352139812,0.6515716030221287,0.8719734425440975,black,grassland,manual,96.38271615941267,7.691679516533507,10,0,0.0
